Year,Type,Country,Fatal_injury,Species,Length,Weight
1959,Unprovoked,USA,N,HAMMERHEAD SHARK,180,26
1959,Sea Disaster,USA,N,HAMMERHEAD SHARK,275,90
1959,Provoked,USA,N,HAMMERHEAD SHARK,275,90
1959,Boating,USA,N,HAMMERHEAD SHARK,300,117
1959,Boating,AUSTRALIA,N,SHORTFIN MAKO SHARK,240,53
1959,Boating,NEW ZEALAND,N,SHORTFIN MAKO SHARK,430,315
1959,Boating,SOUTH AFRICA,N,THRESHER SHARK,370,344
1959,Unprovoked,FIJI,N,TIGER SHARK,180,28
1959,Unprovoked,AUSTRALIA,N,TIGER SHARK,180,28
1959,Provoked,USA,N,TIGER SHARK,365,325
1959,Boating,AUSTRALIA,N,TIGER SHARK,370,343
1959,Unprovoked,USA,N,TIGER SHARK,370,343
1959,Boating,USA,N,TIGER SHARK,430,560
1959,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,195,73
1959,Provoked,SOUTH AFRICA,N,WHITE SHARK,270,190
1959,Unprovoked,USA,Y,WHITE SHARK,300,260
1959,Boating,USA,N,WHITE SHARK,350,424
1959,Provoked,USA,N,WHITE SHARK,400,650
1959,Unprovoked,USA,N,WHITE SHARK,500,1300
1959,Unprovoked,USA,Y,WHITE SHARK,650,2913
1960,Unprovoked,AUSTRALIA,N,BULL SHARK,100,7
1960,Provoked,AUSTRALIA,N,COPPER SHARK,300,125
1960,Unprovoked,AUSTRALIA,N,COPPER SHARK,370,240
1960,Unprovoked,NEW ZEALAND,N,COPPER SHARK,400,305
1960,Unprovoked,BERMUDA,N,DUSKY SHARK,270,99
1960,Provoked,USA,N,LEMON SHARK,120,14
1960,Unprovoked,USA,N,SHORTFIN MAKO SHARK,195,29
1960,Provoked,AUSTRALIA,N,TIGER SHARK,210,47
1960,Unprovoked,PAPUA NEW GUINEA,Y,TIGER SHARK,340,253
1960,Provoked,AUSTRALIA,N,TIGER SHARK,425,536
1960,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,210,90
1960,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,300,260
1960,Unprovoked,AUSTRALIA,N,WHITE SHARK,370,512
1960,Boating,SOUTH AFRICA,N,WHITE SHARK,415,721
1960,Unprovoked,USA,N,WHITE SHARK,450,929
1960,Provoked,NEW ZEALAND,N,WHITE SHARK,465,1037
1960,Unprovoked,USA,N,WHITE SHARK,490,1215
1961,Unprovoked,BERMUDA,N,BLACKTIP SHARK,195,38
1961,Unprovoked,MOZAMBIQUE,N,BULL SHARK,150,22
1961,Provoked,SOUTH AFRICA,N,BULL SHARK,150,22
1961,Unprovoked,AUSTRALIA,N,COPPER SHARK,240,62
1961,Unprovoked,JAPAN,N,GREY REEF SHARK,180,29
1961,Provoked,AUSTRALIA,N,HAMMERHEAD SHARK,180,26
1961,Unprovoked,USA,N,TIGER SHARK,300,148
1961,Unprovoked,AUSTRALIA,N,WHITE SHARK,370,512
1961,Unprovoked,USA,N,WHITE SHARK,400,650
1961,Unprovoked,ITALY,N,WHITE SHARK,450,929
1961,Provoked,AUSTRALIA,N,WHITE SHARK,520,1458
1962,Boating,AUSTRALIA,N,BLUE SHARK,300,282
1962,Provoked,USA,N,BROADNOSE SEVENGILL SHARK,120,7
1962,Unprovoked,SOUTH AFRICA,N,BULL SHARK,120,11
1962,Unprovoked,INDIA,N,BLACKTIP SHARK,200,42
1962,Unprovoked,AUSTRALIA,N,COPPER SHARK,210,41
1962,Provoked,AUSTRALIA,N,COPPER SHARK,300,125
1962,Provoked,AUSTRALIA,N,COPPER SHARK,370,240
1962,Provoked,SOUTH AFRICA,N,DUSKY SHARK,100,5
1962,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,300,260
1962,Unprovoked,USA,N,WHITE SHARK,400,650
1962,Unprovoked,AUSTRALIA,Y,WHITE SHARK,430,797
1962,Unprovoked,USA,N,WHITE SHARK,430,797
1963,Unprovoked,SOUTH AFRICA,N,BULL SHARK,180,38
1963,Unprovoked,SOUTH AFRICA,N,BULL SHARK,200,51
1963,Unprovoked,AUSTRALIA,N,COPPER SHARK,300,125
1963,Provoked,SOUTH AFRICA,N,DUSKY SHARK,100,5
1963,Unprovoked,FIJI,N,TIGER SHARK,120,8
1963,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,170,49
1963,Unprovoked,FIJI,N,WHITE SHARK,210,90
1963,Unprovoked,GREECE,Y,WHITE SHARK,300,260
1963,Unprovoked,CHILE,Y,WHITE SHARK,400,650
1963,Provoked,AUSTRALIA,N,WHITE SHARK,465,1037
1963,Provoked,AUSTRALIA,N,WHITE SHARK,490,1215
1964,Provoked,FIJI,N,TIGER SHARK,350,283
1964,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,150,33
1964,Unprovoked,AUSTRALIA,N,WHITE SHARK,240,135
1964,Provoked,AUSTRALIA,N,WHITE SHARK,270,190
1964,Unprovoked,NEW ZEALAND,N,WHITE SHARK,300,260
1964,Unprovoked,NEW ZEALAND,Y,WHITE SHARK,335,366
1964,Boating,SOUTH AFRICA,N,WHITE SHARK,360,467
1965,Provoked,BAHAMAS,N,LEMON SHARK,50,1
1965,Unprovoked,EGYPT,N,SHORTFIN MAKO SHARK,180,23
1965,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,370,512
1966,Unprovoked,SOUTH AFRICA,N,BULL SHARK,165,29
1966,Unprovoked,AUSTRALIA,N,COPPER SHARK,210,41
1966,Provoked,USA,N,HAMMERHEAD SHARK,120,8
1966,Provoked,USA,N,SANDBAR SHARK,210,51
1966,Unprovoked,AUSTRALIA,N,SHORTFIN MAKO SHARK,190,27
1966,Unprovoked,AUSTRALIA,N,WHITE SHARK,250,152
1966,Unprovoked,USA,N,WHITE SHARK,300,260
1966,Provoked,AUSTRALIA,N,WHITE SHARK,760,4746
1967,Provoked,USA,N,BLUE SHARK,150,27
