Year,Type,Country,Fatal_injury,Species,Length,Weight
1994,Provoked,USA,N,LEMON SHARK,120,14
1994,Unprovoked,USA,N,SPINNER SHARK,120,9
1994,Unprovoked,HONG KONG,N,TIGER SHARK,600,1730
1994,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1994,Unprovoked,CHILE,N,WHITE SHARK,360,467
1994,Unprovoked,CHILE,N,WHITE SHARK,360,467
1994,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,400,650
1994,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1994,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,490,1215
1994,Unprovoked,USA,N,WHITE SHARK,500,1300
1994,Unprovoked,USA,Y,WHITE SHARK,525,1506
1994,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,550,1760
1995,Unprovoked,USA,Y,BULL SHARK,335,230
1995,Unprovoked,AUSTRALIA,N,COPPER SHARK,200,35
1995,Unprovoked,SOUTH AFRICA,Y,TIGER SHARK,180,28
1995,Unprovoked,USA,N,TIGER SHARK,370,343
1995,Unprovoked,USA,N,WHITE SHARK,350,424
1995,Unprovoked,USA,N,WHITE SHARK,400,650
1995,Unprovoked,NEW ZEALAND,N,WHITE SHARK,500,1300
1995,Unprovoked,USA,N,WHITE SHARK,600,2287
1995,Unprovoked,JAPAN,Y,WHITE SHARK,600,2287
1996,Unprovoked,USA,N,BLACKTIP SHARK,75,2
1996,Unprovoked,USA,N,HAMMERHEAD SHARK,195,33
1996,Boating,AUSTRALIA,N,SHORTFIN MAKO SHARK,430,315
1996,Unprovoked,USA,N,TIGER SHARK,240,72
1996,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1996,Unprovoked,USA,N,WHITE SHARK,400,650
1996,Unprovoked,AUSTRALIA,N,WHITE SHARK,400,650
1996,Unprovoked,USA,N,WHITE SHARK,500,1300
1996,Unprovoked,JAPAN,Y,WHITE SHARK,500,1300
1996,Unprovoked,USA,N,WHITE SHARK,575,1983
1996,Unprovoked,USA,N,WHITE SHARK,600,2287
1997,Unprovoked,USA,N,SPINNER SHARK,120,9
1997,Unprovoked,AUSTRALIA,N,TIGER SHARK,250,82
1997,Unprovoked,FIJI,N,TIGER SHARK,270,106
1997,Unprovoked,USA,N,TIGER SHARK,415,500
1997,Unprovoked,AUSTRALIA,Y,TIGER SHARK,450,655
1997,Unprovoked,MEXICO,Y,TIGER SHARK,520,1063
1997,Unprovoked,BRAZIL,N,WHITE SHARK,395,623
1997,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,450,929
1997,Unprovoked,USA,N,WHITE SHARK,500,1300
1997,Unprovoked,AUSTRALIA,N,WHITE SHARK,550,1760
1998,Unprovoked,USA,N,BLACKTIP SHARK,180,30
1998,Unprovoked,USA,N,DUSKY SHARK,365,247
1998,Unprovoked,USA,N,LEMON SHARK,150,28
1998,Unprovoked,USA,N,SPINNER SHARK,150,17
1998,Provoked,SOUTH AFRICA,N,TIGER SHARK,200,40
1998,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1998,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1998,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1998,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1998,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,490,1215
1998,Unprovoked,USA,N,WHITE SHARK,500,1300
1998,Unprovoked,USA,N,WHITE SHARK,550,1760
1998,Unprovoked,USA,N,WHITE SHARK,550,1760
1998,Unprovoked,AUSTRALIA,Y,WHITE SHARK,550,1760
1999,Unprovoked,USA,N,BLACKTIP SHARK,180,30
1999,Unprovoked,USA,N,BULL SHARK,210,59
1999,Unprovoked,BAHAMAS,N,BULL SHARK,270,123
1999,Unprovoked,MARSHALL ISLANDS,N,GREY REEF SHARK,120,8
1999,Unprovoked,MARSHALL ISLANDS,N,GREY REEF SHARK,120,8
1999,Unprovoked,MAURITIUS,N,GREY REEF SHARK,150,17
1999,Unprovoked,USA,N,LEMON SHARK,270,165
1999,Unprovoked,NEW ZEALAND,N,BROADNOSE SEVENGILL SHARK,240,66
1999,Provoked,NEW ZEALAND,N,SHORTFIN MAKO SHARK,130,9
1999,Unprovoked,USA,N,TIGER SHARK,210,47
1999,Unprovoked,USA,N,TIGER SHARK,210,47
1999,Unprovoked,USA,N,TIGER SHARK,210,47
1999,Unprovoked,BRAZIL,N,TIGER SHARK,250,82
1999,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1999,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1999,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1999,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1999,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,460,1000
1999,Boating,ITALY,N,WHITE SHARK,700,3688
2000,Unprovoked,USA,N,BLACKTIP SHARK,60,1
2000,Provoked,ENGLAND,N,BLACKTIP SHARK,60,1
2000,Unprovoked,USA,N,BLACKTIP SHARK,90,4
2000,Unprovoked,USA,N,BLACKTIP SHARK,120,9
2000,Boating,USA,N,BULL SHARK,240,87
2000,Unprovoked,USA,Y,BULL SHARK,270,123
2000,Unprovoked,USA,N,BLACKTIP SHARK,270,104
2000,Unprovoked,AUSTRALIA,N,COPPER SHARK,250,71
2000,Unprovoked, TONGA,N,GREY REEF SHARK,200,40
2000,Unprovoked,USA,N,LEMON SHARK,225,96
2000,Boating,NEW ZEALAND,N,SHORTFIN MAKO SHARK,200,32
2000,Unprovoked,USA,N,SHORTFIN MAKO SHARK,320,120
2000,Unprovoked,USA,N,TIGER SHARK,125,9
2000,Unprovoked,USA,N,TIGER SHARK,210,47
2000,Unprovoked,REUNION,N,TIGER SHARK,300,148
2000,Unprovoked,AUSTRALIA,N,TIGER SHARK,400,432
2000,Unprovoked,AUSTRALIA,N,TIGER SHARK,400,432
2000,Unprovoked,USA,N,TIGER SHARK,410,476
2000,Unprovoked,JAPAN,Y,WHITE SHARK,250,152
2000,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
2000,Unprovoked,USA,N,WHITE SHARK,270,190
2000,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2000,Unprovoked,USA,N,WHITE SHARK,430,797
2000,Boating,AUSTRALIA,N,WHITE SHARK,450,929
2000,Unprovoked,AUSTRALIA,Y,WHITE SHARK,450,929
2000,Unprovoked,AUSTRALIA,N,WHITE SHARK,490,1215
2000,Unprovoked,AUSTRALIA,Y,WHITE SHARK,500,1300
2001,Unprovoked,USA,N,BLACKTIP SHARK,90,4
2001,Unprovoked,USA,N,BLACKTIP SHARK,135,12
2001,Unprovoked,USA,N,BLACKTIP SHARK,150,17
2001,Unprovoked,BAHAMAS,N,BULL SHARK,190,44
2001,Unprovoked,USA,N,BULL SHARK,230,77
2001,Unprovoked,BAHAMAS,N,BULL SHARK,300,168
2001,Unprovoked,AUSTRALIA,N,COPPER SHARK,250,71
2001,Unprovoked,SOUTH AFRICA,N,SHORTFIN MAKO SHARK,200,32
2001,Boating,USA,N,SHORTFIN MAKO SHARK,425,300
2001,Unprovoked,USA,N,SPINNER SHARK,135,12
2001,Unprovoked,MEXICO,N,TIGER SHARK,180,28
2001,Sea Disaster,CUBA,Y,TIGER SHARK,245,77
2001,Provoked,ENGLAND,N,TIGER SHARK,365,325
2001,Provoked,USA,N,WHITE SHARK,270,190
2001,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,270,190
2001,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,285,223
2001,Boating,AUSTRALIA,N,WHITE SHARK,430,797
2001,Boating,AUSTRALIA,N,WHITE SHARK,500,1300
2002,Provoked,USA,N,BLACKTIP SHARK,90,4
2002,Unprovoked,USA,N,BLACKTIP SHARK,120,9
2002,Unprovoked,USA,N,BLACKTIP SHARK,120,9
2002,Provoked,USA,N,BLACKTIP SHARK,180,30
2002,Unprovoked,USA,N,BULL SHARK,135,16
2002,Unprovoked,USA,N,BULL SHARK,195,47
2002,Unprovoked,COSTA RICA,N,BULL SHARK,195,47
2002,Unprovoked,AUSTRALIA,N,COPPER SHARK,150,15
2002,Unprovoked,SOUTH AFRICA,N,COPPER SHARK,200,35
2002,Unprovoked,USA,N,SPINNER SHARK,105,6
2002,Provoked,TONGA,N,TIGER SHARK,150,16
2002,Unprovoked,USA,N,TIGER SHARK,180,28
2002,Unprovoked,USA,N,TIGER SHARK,255,88
2002,Unprovoked,USA,N,TIGER SHARK,270,106
2002,Provoked,ENGLAND,N,TIGER SHARK,300,148
2002,Unprovoked,AUSTRALIA,N,TIGER SHARK,300,148
2002,Unprovoked,USA,N,WHITE SHARK,375,523
2002,Unprovoked,USA,N,WHITE SHARK,400,650
2002,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,500,1300
2002,Unprovoked,AUSTRALIA,Y,WHITE SHARK,600,2287
2003,Provoked,USA,N,BULL SHARK,120,11
2003,Unprovoked,BAHAMAS,N,BULL SHARK,210,59
2003,Unprovoked,COSTA RICA,N,BULL SHARK,215,63
2003,Unprovoked,AUSTRALIA,Y,BULL SHARK,225,71
2003,Unprovoked,AUSTRALIA,N,COPPER SHARK,250,71
2003,Unprovoked,USA,N,HAMMERHEAD SHARK,245,64
2003,Unprovoked,VENEZUELA,N,SHORTFIN MAKO SHARK,300,100
2003,Unprovoked,SOUTH AFRICA,Y,TIGER SHARK,400,432
2003,Unprovoked,USA,N,TIGER SHARK,425,536
2003,Unprovoked,NEW ZEALAND,N,WHITE SHARK,250,152
2003,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2003,Unprovoked,USA,Y,WHITE SHARK,500,1300
2004,Unprovoked,NEW ZEALAND,N,BROADNOSE SEVENGILL SHARK,200,36
2004,Unprovoked,USA,N,BULL SHARK,120,11
2004,Unprovoked,VENEZUELA,N,BULL SHARK,165,29
2004,Unprovoked,CUBA,N,BULL SHARK,250,98
2004,Unprovoked,AUSTRALIA,N,COPPER SHARK,150,15
2004,Unprovoked,AUSTRALIA,N,COPPER SHARK,240,62
2004,Unprovoked,AUSTRALIA,N,COPPER SHARK,250,71
2004,Unprovoked,USA,N,SHORTFIN MAKO SHARK,180,23
2004,Unprovoked,JAPAN,N,SHORTFIN MAKO SHARK,350,155
2004,Boating,SOUTH AFRICA,N,SHORTFIN MAKO SHARK,350,155
2004,Unprovoked,BRAZIL,N,TIGER SHARK,150,16
2004,Unprovoked,URUGUAY,N,TIGER SHARK,175,26
2004,Unprovoked,REUNION,N,TIGER SHARK,250,82
2004,Unprovoked,USA,N,TIGER SHARK,270,106
2004,Boating,AUSTRALIA,N,TIGER SHARK,300,148
2004,Unprovoked,USA,N,TIGER SHARK,310,190
2004,Unprovoked,USA,N,WHITE SHARK,105,12
2004,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,200,79
2004,Unprovoked,USA,N,WHITE SHARK,210,90
2004,Unprovoked,USA,N,WHITE SHARK,280,212
2004,Boating,SOUTH AFRICA,N,WHITE SHARK,350,424
2004,Boating,AUSTRALIA,N,WHITE SHARK,400,650
2004,Unprovoked,AUSTRALIA,Y,WHITE SHARK,475,1094
2004,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,500,1300
2004,Unprovoked,USA,Y,WHITE SHARK,525,1506
2004,Unprovoked,USA,N,WHITE SHARK,550,1760
2004,Boating,NEW ZEALAND,N,WHITE SHARK,550,1760
2004,Unprovoked,AUSTRALIA,N,WHITE SHARK,550,1760
2004,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,600,2287
2005,Unprovoked,USA,N,BLACKTIP SHARK,180,30
2005,Unprovoked,USA,Y,BULL SHARK,180,38
2005,Unprovoked,AUSTRALIA,N,COPPER SHARK,200,35
2005,Provoked,AUSTRALIA,N,COPPER SHARK,250,71
2005,Provoked,NEW ZEALAND,N,COPPER SHARK,430,380
2005,Provoked,AUSTRALIA,N,SHORTFIN MAKO SHARK,150,14
2005,Provoked,USA,N,TIGER SHARK,210,47
2005,Unprovoked,USA,N,TIGER SHARK,240,72
2005,Boating,USA,N,TIGER SHARK,260,93
2005,Unprovoked,USA,N,TIGER SHARK,275,112
2005,Unprovoked,AUSTRALIA,N,TIGER SHARK,300,148
2005,Unprovoked,USA,N,TIGER SHARK,300,148
2005,Boating,AUSTRALIA,N,WHITE SHARK,300,260
2005,Unprovoked,SOUTH KOREA,N,WHITE SHARK,300,260
2005,Boating,AUSTRALIA,N,WHITE SHARK,400,650
2005,Unprovoked,AUSTRALIA,N,WHITE SHARK,400,650
2005,Unprovoked,USA,N,WHITE SHARK,425,766
2005,Unprovoked,AUSTRALIA,N,WHITE SHARK,490,1215
2005,Unprovoked,USA,N,WHITE SHARK,580,2042
2005,Unprovoked,AUSTRALIA,Y,WHITE SHARK,600,2287
2006,Unprovoked,USA,N,ANGELSHARK,120,15
2006,Unprovoked,USA,N,BLACKTIP SHARK,60,1
2006,Unprovoked,USA,N,BLACKTIP SHARK,180,30
2006,Unprovoked,USA,N,BLACKTIP SHARK,180,30
2006,Provoked,USA,N,BULL SHARK,120,11
2006,Unprovoked,USA,N,BULL SHARK,135,16
2006,Provoked,SOUTH AFRICA,N,BULL SHARK,150,22
2006,Unprovoked,REUNION,N,BULL SHARK,150,22
2006,Unprovoked,USA,N,BULL SHARK,170,32
2006,Unprovoked,AUSTRALIA,N,COPPER SHARK,183,27
2006,Unprovoked,AUSTRALIA,N,COPPER SHARK,200,35
2006,Provoked,USA,N,GREY REEF SHARK,245,73
2006,Unprovoked,FIJI,N,TIGER SHARK,150,16
2006,Unprovoked,USA,N,TIGER SHARK,305,175
2006,Unprovoked,USA,N,TIGER SHARK,305,175
2006,Unprovoked,USA,N,TIGER SHARK,335,239
2006,Provoked,USA,N,TIGER SHARK,455,684
2006,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2006,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2006,Unprovoked,AUSTRALIA,N,WHITE SHARK,350,424
2006,Unprovoked,AUSTRALIA,N,WHITE SHARK,425,766
2006,Boating,AUSTRALIA,N,WHITE SHARK,450,929
2006,Unprovoked,USA,N,WHITE SHARK,455,964
2006,Unprovoked,USA,N,WHITE SHARK,490,1215
2006,Unprovoked,AUSTRALIA,N,WHITE SHARK,500,1300
2007,Unprovoked,USA,N,BLACKTIP SHARK,150,17
2007,Unprovoked,BAHAMAS,N,BULL SHARK,150,22
2007,Unprovoked,USA,N,BULL SHARK,185,40
2007,Unprovoked,USA,N,BULL SHARK,305,175
2007,Boating,USA,N,BULL SHARK,305,175
2007,Unprovoked,AUSTRALIA,N,COPPER SHARK,135,10
2007,Provoked,BAHAMAS,N,LEMON SHARK,125,16
2007,Provoked,USA,N,LEMON SHARK,185,53
2007,Provoked,ENGLAND,N,SPINY DOGFISH SHARK,70,1
2007,Unprovoked,USA,N,TIGER SHARK,215,51
2007,Unprovoked,USA,N,TIGER SHARK,335,239
2007,Unprovoked,USA,N,TIGER SHARK,425,536
2007,Unprovoked,SEYCHELLES,N,WHITE SHARK,200,79
2007,Unprovoked,AUSTRALIA,N,WHITE SHARK,250,152
2007,Unprovoked,AUSTRALIA,N,WHITE SHARK,300,260
2007,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2007,Unprovoked,USA,N,WHITE SHARK,365,489
2007,Unprovoked,USA,N,WHITE SHARK,365,489
2008,Unprovoked,SOUTH AFRICA,N,BLACKTIP SHARK,200,42
2008,Unprovoked,NEW CALEDONIA,N,BULL SHARK,180,38
2008,Unprovoked,BAHAMAS,N,BULL SHARK,200,51
2008,Unprovoked,USA,N,BULL SHARK,245,92
2008,Boating,NEW ZEALAND,N,COPPER SHARK,400,305
2008,Unprovoked,USA,N,TIGER SHARK,365,325
2008,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,200,79
2008,Unprovoked,AUSTRALIA,N,WHITE SHARK,245,143
2008,Unprovoked,AUSTRALIA,N,WHITE SHARK,400,650
2008,Boating,AUSTRALIA,N,WHITE SHARK,450,929
2008,Unprovoked,AUSTRALIA,Y,WHITE SHARK,450,929
2008,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,450,929
2008,Boating,USA,N,WHITE SHARK,455,964
2008,Unprovoked,USA,Y,WHITE SHARK,455,964
2008,Boating,AUSTRALIA,N,WHITE SHARK,475,1094
2008,Unprovoked,USA,N,WHITE SHARK,490,1215
2008,Unprovoked,CROATIA,N,WHITE SHARK,500,1300
2009,Provoked,GUAM,N,BLACKTIP SHARK,120,9
2009,Provoked,SOUTH AFRICA,N,BLUE SHARK,100,7
2009,Unprovoked,MOZAMBIQUE,N,BULL SHARK,200,51
2009,Unprovoked,USA,N,BULL SHARK,245,92
2009,Unprovoked,AUSTRALIA,N,BULL SHARK,270,123
2009,Unprovoked,AUSTRALIA,N,BULL SHARK,300,168
2009,Unprovoked,AUSTRALIA,N,BULL SHARK,305,175
2009,Unprovoked,AUSTRALIA,N,DUSKY SHARK,200,40
2009,Boating,NEW ZEALAND,N,SHORTFIN MAKO SHARK,300,100
2009,Provoked,USA,N,TIGER SHARK,245,77
2009,Unprovoked,USA,N,TIGER SHARK,365,325
2009,Unprovoked,USA,N,WHITE SHARK,170,49
2009,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,200,79
2009,Unprovoked,AUSTRALIA,N,WHITE SHARK,250,152
2009,Unprovoked,NEW ZEALAND,Y,WHITE SHARK,290,234
2009,Unprovoked,AUSTRALIA,N,WHITE SHARK,350,424
2009,Unprovoked,AUSTRALIA,N,WHITE SHARK,365,489
2009,Boating,AUSTRALIA,N,WHITE SHARK,400,650
2009,Unprovoked,USA,N,WHITE SHARK,455,964
2009,Unprovoked,AUSTRALIA,N,WHITE SHARK,500,1300
2009,Boating,AUSTRALIA,N,WHITE SHARK,550,1760
2010,Provoked,USA,N,BLUE SHARK,215,91
2010,Unprovoked,AUSTRALIA,N,BULL SHARK,140,18
2010,Unprovoked,USA,N,BULL SHARK,150,22
2010,Provoked,USA,N,LEMON SHARK,120,14
2010,Unprovoked,BAHAMAS,N,LEMON SHARK,185,53
2010,Provoked,USA,N,LEMON SHARK,185,53
2010,Provoked,USA,N,SPINNER SHARK,185,33
2010,Unprovoked,USA,N,TIGER SHARK,135,11
2010,Unprovoked,AUSTRALIA,N,WHITE SHARK,250,152
2010,Boating,USA,N,WHITE SHARK,455,964
2010,Unprovoked,USA,Y,WHITE SHARK,580,2042
2011,Unprovoked,USA,N,BLACKTIP SHARK,120,9
2011,Unprovoked,USA,N,BULL SHARK,185,40
2011,Unprovoked,SEYCHELLES,Y,BULL SHARK,185,40
2011,Unprovoked,USA,N,BULL SHARK,185,40
2011,Provoked,AUSTRALIA,N,BULL SHARK,200,51
2011,Unprovoked,INDONESIA,N,BULL SHARK,250,98
2011,Unprovoked,AUSTRALIA,N,BULL SHARK,250,98
2011,Unprovoked,SOUTH AFRICA,N,BULL SHARK,300,168
2011,Unprovoked,USA,N,BULL SHARK,365,296
2011,Provoked,USA,N,SANDBAR SHARK,245,82
2011,Unprovoked,USA,N,BROADNOSE SEVENGILL SHARK,215,45
2011,Unprovoked,USA,N,SPINNER SHARK,185,33
2011,Unprovoked,USA,N,TIGER SHARK,165,21
2011,Unprovoked,PAPUA NEW GUINEA,N,TIGER SHARK,200,40
2011,Unprovoked,NEW CALEDONIA,Y,TIGER SHARK,280,119
2011,Unprovoked,USA,N,TIGER SHARK,305,175
2011,Unprovoked,USA,N,WHITE SHARK,150,33
2011,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,185,62
2011,Unprovoked,AUSTRALIA,N,WHITE SHARK,250,152
2011,Unprovoked,AUSTRALIA,Y,WHITE SHARK,305,273
2011,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2011,Unprovoked,USA,N,WHITE SHARK,455,964
2011,Boating,USA,N,WHITE SHARK,475,1094
2012,Unprovoked,USA,N,BULL SHARK,170,32
2012,Unprovoked,AUSTRALIA,N,BULL SHARK,200,51
2012,Unprovoked,TONGA,N,BULL SHARK,300,168
2012,Unprovoked,MEXICO,N,BULL SHARK,300,168
2012,Unprovoked,USA,N,LEMON SHARK,150,28
2012,Unprovoked,FRENCH POLYNESIA,N,LEMON SHARK,275,175
2012,Unprovoked,AUSTRALIA,N,TIGER SHARK,185,31
2012,Unprovoked,USA,N,TIGER SHARK,245,77
2012,Boating,USA,N,TIGER SHARK,260,93
2012,Unprovoked,AUSTRALIA,N,TIGER SHARK,300,148
2012,Unprovoked,USA,N,TIGER SHARK,305,175
2012,Unprovoked,USA,N,TIGER SHARK,305,175
2012,Unprovoked,USA,N,TIGER SHARK,335,239
2012,Provoked,USA,N,TIGER SHARK,335,239
2012,Unprovoked,AUSTRALIA,N,TIGER SHARK,400,432
2012,Unprovoked,USA,N,TIGER SHARK,455,684
2012,Unprovoked,AUSTRALIA,N,WHITE SHARK,200,79
2012,Unprovoked,AUSTRALIA,N,WHITE SHARK,270,190
2012,Unprovoked,AUSTRALIA,Y,WHITE SHARK,400,650
2012,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,450,929
2012,Unprovoked,USA,Y,WHITE SHARK,470,1056
2012,Unprovoked,AUSTRALIA,Y,WHITE SHARK,500,1300
2012,Boating,AUSTRALIA,N,WHITE SHARK,600,2287
2012,Boating,SOUTH AFRICA,N,WHITE SHARK,700,3688
2013,Unprovoked,AUSTRALIA,N,BLACKTIP SHARK,100,5
2013,Unprovoked,USA,N,BLACKTIP SHARK,135,12
2013,Unprovoked,USA,N,BULL SHARK,90,5
2013,Unprovoked,USA,N,BULL SHARK,215,63
2013,Unprovoked,USA,N,BULL SHARK,245,92
2013,Unprovoked,AUSTRALIA,N,COPPER SHARK,250,71
2013,Unprovoked,NEW ZEALAND,N,COPPER SHARK,300,125
2013,Provoked,USA,N,LEMON SHARK,120,14
2013,Provoked,FRANCE,N,SHORTFIN MAKO SHARK,150,14
2013,Unprovoked,USA,N,TIGER SHARK,275,112
2013,Unprovoked,AUSTRALIA,Y,TIGER SHARK,300,148
2013,Unprovoked,USA,N,TIGER SHARK,335,239
2013,Unprovoked,USA,N,TIGER SHARK,425,536
2013,Unprovoked,USA,N,TIGER SHARK,455,684
2013,Unprovoked,JAMAICA,Y,TIGER SHARK,480,809
2013,Unprovoked,USA,N,WHITE SHARK,275,200
2013,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
2013,Unprovoked,USA,N,WHITE SHARK,305,273
2013,Unprovoked,AUSTRALIA,N,WHITE SHARK,400,650
2013,Unprovoked,NEW ZEALAND,Y,WHITE SHARK,400,650
2013,Boating,AUSTRALIA,N,WHITE SHARK,500,1300
2014,Unprovoked,USA,N,BULL SHARK,110,9
2014,Unprovoked,AUSTRALIA,N,BULL SHARK,120,11
2014,Provoked,USA,N,BULL SHARK,135,16
2014,Unprovoked,USA,N,BULL SHARK,150,22
2014,Unprovoked,USA,N,BULL SHARK,245,92
2014,Unprovoked,BAHAMAS,N,BULL SHARK,290,152
2014,Unprovoked,AUSTRALIA,N,COPPER SHARK,150,15
2014,Provoked,AUSTRALIA,N,LEMON SHARK,350,250
2014,Unprovoked,USA,N,SANDBAR SHARK,105,6
2014,Unprovoked,USA,N,TIGER SHARK,365,325
2014,Provoked,USA,N,WHITE SHARK,215,98
2014,Unprovoked,USA,N,WHITE SHARK,290,234
2014,Unprovoked,AUSTRALIA,Y,WHITE SHARK,350,424
2014,Unprovoked,AUSTRALIA,N,WHITE SHARK,395,623
2014,Boating,USA,N,WHITE SHARK,395,623
2014,Unprovoked,AUSTRALIA,Y,WHITE SHARK,450,929
2014,Unprovoked,AUSTRALIA,N,WHITE SHARK,455,964
2014,Boating,USA,N,WHITE SHARK,580,2042
2014,Boating,NEW ZEALAND,N,WHITE SHARK,600,2287
2015,Unprovoked,USA,N,BLACKTIP SHARK,120,9
2015,Unprovoked,USA,N,BLACKTIP SHARK,135,12
2015,Unprovoked,USA,N,BLACKTIP SHARK,150,17
2015,Unprovoked,USA,N,BLACKTIP SHARK,165,23
2015,Unprovoked,USA,N,BLUE SHARK,260,173
2015,Boating,AUSTRALIA,N,BULL SHARK,130,15
2015,Unprovoked,USA,N,BULL SHARK,150,22
2015,Unprovoked,REUNION,N,BULL SHARK,200,51
2015,Unprovoked,REUNION,N,BULL SHARK,250,98
2015,Unprovoked,AUSTRALIA,N,BULL SHARK,295,158
2015,Unprovoked,NEW CALEDONIA,Y,BULL SHARK,350,263
2015,Unprovoked,AUSTRALIA,N,COPPER SHARK,150,15
2015,Unprovoked,AUSTRALIA,N,COPPER SHARK,183,27
2015,Provoked,USA,N,HAMMERHEAD SHARK,215,44
2015,Unprovoked,VENEZUELA,Y,HAMMERHEAD SHARK,250,69
2015,Unprovoked,USA,N,SPINNER SHARK,150,17
2015,Unprovoked,USA,N,SPINNER SHARK,215,51
2015,Unprovoked,BRAZIL,N,TIGER SHARK,150,16
2015,Unprovoked,USA,N,TIGER SHARK,215,51
2015,Unprovoked,USA,N,TIGER SHARK,305,175
2015,Unprovoked,REUNION,Y,TIGER SHARK,350,283
2015,Unprovoked,BELIZE,Y,TIGER SHARK,365,325
2015,Unprovoked,USA,N,TIGER SHARK,395,421
2015,Unprovoked,USA,N,TIGER SHARK,395,421
2015,Unprovoked,USA,N,WHITE SHARK,215,98
2015,Unprovoked,AUSTRALIA,N,WHITE SHARK,250,152
2015,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
2015,Boating,SOUTH AFRICA,N,WHITE SHARK,300,260
2015,Unprovoked,AUSTRALIA,N,WHITE SHARK,300,260
2015,Unprovoked,USA,N,WHITE SHARK,320,322
2015,Unprovoked,USA,N,WHITE SHARK,320,322
2015,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,325,339
2015,Boating,AUSTRALIA,N,WHITE SHARK,350,424
2015,Unprovoked,USA,N,WHITE SHARK,350,424
2015,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
2015,Boating,USA,N,WHITE SHARK,395,623
2015,Boating,SOUTH AFRICA,N,WHITE SHARK,400,650
2015,Unprovoked,AUSTRALIA,Y,WHITE SHARK,405,664
2015,Boating,USA,N,WHITE SHARK,580,2042
2015,Unprovoked,AUSTRALIA,N,WHITE SHARK,600,2287
2016,Unprovoked,USA,N,BLACKTIP SHARK,120,9
2016,Provoked,AUSTRALIA,N,BROADNOSE SEVENGILL SHARK,150,14
2016,Unprovoked,USA,N,BULL SHARK,135,16
2016,Unprovoked,USA,N,BULL SHARK,185,40
2016,Unprovoked,BAHAMAS,N,BULL SHARK,185,40
2016,Unprovoked,INDONESIA,N,BULL SHARK,185,40
2016,Unprovoked,USA,N,BULL SHARK,215,63
2016,Unprovoked,REUNION,N,BULL SHARK,350,263
2016,Provoked,FRENCH POLYNESIA,N,GREY REEF SHARK,200,40
2016,Unprovoked,BAHAMAS,N,LEMON SHARK,275,175
2016,Provoked,NEW ZEALAND,N,SHORTFIN MAKO SHARK,150,14
2016,Unprovoked,NEW CALEDONIA,Y,TIGER SHARK,250,82
2016,Unprovoked,USA,N,TIGER SHARK,305,175
2016,Unprovoked,USA,N,TIGER SHARK,305,175
2016,Boating,USA,N,TIGER SHARK,305,175
2016,Unprovoked,USA,N,TIGER SHARK,425,536
2016,Unprovoked,USA,N,WHITE SHARK,275,200
2016,Unprovoked,USA,N,WHITE SHARK,335,366
2016,Unprovoked,AUSTRALIA,N,WHITE SHARK,350,424
2016,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
2017,Unprovoked,SPAIN,N,BLUE SHARK,185,54
2017,Unprovoked,INDONESIA,N,BULL SHARK,100,7
2017,Unprovoked,USA,N,BULL SHARK,135,16
